text,clean_text,sentiment,emotion
"2 months ago, angker oredi tell send all foreigner home and lockdown SG but u neber listen. See lah...now make all doctors and nurse boh eng....and bring bad name to SG for being the highest covid-19 cases in asia.....","2 months ago, angker oredi tell send all foreigner home and lockdown SG but u neber listen. See lah...now make all doctors and nurse boh eng....and bring bad name to SG for being the highest covid-19 cases in asia.....",negative,worry
The migrant workers and their appalling living and wage conditions have been a disgrace for Singapore for decades.,The migrant workers and their appalling living and wage conditions have been a disgrace for Singapore for decades.,negative,sadness
How about education.What is going to happen to school,How about education.What is going to happen to school,neutral,neutral
the regression of maslow's mierarchy of needs unfolds,the regression of maslow's mierarchy of needs unfolds,neutral,worry
GOD BLESS SINGAPORE.............................................,GOD BLESS SINGAPORE.............................................,positive,neutral
#sgunited We will overcome this and be strong together!,#sgunited We will overcome this and be strong together!,positive,relief
You are a communist working for the new world order.,You are a communist working for the new world order.,neutral,neutral
Nabey why never wear mask? Enforcement officer please fine everyone in this conference room for not wearing mask and never keep social distancing.  Why corona virus cannot visit you during conference time ijjit?,Nabey why never wear mask? Enforcement officer please fine everyone in this conference room for not wearing mask and never keep social distancing.  Why corona virus cannot visit you during conference time ijjit?,negative,worry
#SGUNITED!,#SGUNITED!,neutral,neutral
Salute you Mr Lee great pm of Singapore,Salute you Mr Lee great pm of Singapore,positive,happiness
